countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
AFG,Afghanistan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.707,
AGO,Angola,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.554,
ALB,Albania,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.192,
ARE,United Arab Emirates,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.177,
ARG,Argentina,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.372,
ARM,Armenia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.346,
AUS,Australia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.136,
AUT,Austria,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.11,
AZE,Azerbaijan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.342,
BDI,Burundi,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.535,
BEL,Belgium,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.092,
BEN,Benin,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.636,
BFA,Burkina Faso,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.602,
BGD,Bangladesh,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.602,
BGR,Bulgaria,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.229,
BHR,Bahrain,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.259,
BHS,Bahamas,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.369,
BIH,Bosnia and Herzegovina,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.215,
BLR,Belarus,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.148,
BLZ,Belize,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.407,
BOL,Bolivia (Plurinational State of),GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.477,
BRA,Brazil,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.448,
BRB,Barbados,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.35,
BTN,Bhutan,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.476,
BWA,Botswana,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.502,
CAN,Canada,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.139,
CHE,Switzerland,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.057,
CHL,Chile,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.351,
CHN,China,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.247,
CIV,C?te d'Ivoire,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.639,
CMR,Cameroon,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.62,
COD,Congo (Democratic Republic of the),GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.66,
COG,Congo,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.618,
COL,Colombia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.452,
CRI,Costa Rica,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.318,
CUB,Cuba,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.333,
CYP,Cyprus,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.191,
CZE,Czechia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.139,
DEU,Germany,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.096,
DNK,Denmark,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.049,
DOM,Dominican Republic,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.488,
DZA,Algeria,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.517,
ECU,Ecuador,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.431,
EGY,Egypt,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.547,
ESP,Spain,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.105,
EST,Estonia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.159,
ETH,Ethiopia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.599,
FIN,Finland,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.071,
FJI,Fiji,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.405,
FRA,France,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.129,
GAB,Gabon,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.52,
GBR,United Kingdom,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.179,
GEO,Georgia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.432,
GHA,Ghana,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.57,
GMB,Gambia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.66,
GRC,Greece,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.153,
GTM,Guatemala,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.539,
HND,Honduras,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.467,
HRV,Croatia,GII,Gender Inequality Index,,gii,Gender Inequality Index (value),2010,0.136,
